objectid,statefp10,countyfp10,tractce10,blkgrpce10,geoid10,namelsad10,mtfcc10,funcstat10,aland10,awater10,intptlat10,intptlon10,hood,hood_no,acres,sqmiles,sectors,tract,cdbg2014,tracttext,objectid_1,tractce10_1,cnt_tractce10,sum_lowmod2018,sum_lowmoduniv,lowmodperct,lowmodpercanno,cdbg2018,Shape__Area,Shape__Length
106,42,003,140300,4,420031403004,Block Group 4,G5030,S,244015,0,+40.4427330,-079.9230623,Squirrel Hill North,76,785.948,1.222,10,1403,No,1403,52,140300,4,1025,3695,27.74018945,27.74,No,10141741.8649902,14431.3114109359
107,42,003,140200,2,420031402002,Block Group 2,G5030,S,336251,0,+40.4470935,-079.9297264,Squirrel Hill North,76,785.948,1.222,10,1402,No,1402,51,140200,2,760,1900,40,40,No,8174368.26873779,13410.6598538141
108,42,003,271500,3,420032715003,Block Group 3,G5030,S,388703,0,+40.4716738,-080.0340754,Marshall-Shadeland,50,657.903,1.023,2,2715,Yes,2715,98,271500,3,2145,2990,71.73913043,71.73,Yes,15043663.0668335,26355.3030260841
109,42,003,563200,2,420035632002,Block Group 2,G5030,S,294331,0,+40.4535118,-079.9979360,East Allegheny,26,151.705,0.236,3,5632,Yes,5632,124,563200,3,1420,2260,62.83185841,62.83,Yes,9959253.31396484,18758.7905048609
110,42,003,192000,2,420031920002,Block Group 2,G5030,S,246368,0,+40.4016212,-080.0253551,Beechview,8,938.804,1.46,5,1920,Yes,1920,77,192000,5,1805,3535,51.06082037,51.06,Yes,14665072.8908081,18610.2900222987
111,42,003,320600,1,420033206001,Block Group 1,G5030,S,656883,0,+40.3971295,-080.0068447,Brookline,14,1338.669,2.082,5,3206,No,3206,108,320600,2,940,2270,41.40969163,41.40,No,15751983.4514465,17517.1168584411
112,42,003,320700,1,420033207001,Block Group 1,G5030,S,730543,0,+40.3857238,-080.0009505,Overbrook,60,539.515,0.839,5,3207,No,3207,109,320700,2,730,1515,48.18481848,48.18,No,14197043.319519,22379.8485680528
113,42,003,130400,3,420031304003,Block Group 3,G5030,S,115917,0,+40.4496890,-079.8859784,Homewood South,42,256.093,0.398,11,1304,Yes,1304,48,130400,3,760,975,77.94871795,77.94,Yes,5042686.37658691,10085.9901632253
114,42,003,130300,3,420031303003,Block Group 3,G5030,S,232737,0,+40.4556706,-079.8998750,Homewood South,42,256.093,0.398,11,1303,Yes,1303,47,130300,3,995,1280,77.734375,77.73,Yes,5870150.18450928,11632.6848509487
115,42,003,130200,2,420031302002,Block Group 2,G5030,S,186305,0,+40.4594767,-079.8955903,Homewood North,41,279.14,0.434,11,1302,Yes,1302,46,130200,2,1175,1420,82.74647887,82.74,Yes,3750752.09771729,9101.2157848174
116,42,003,270300,2,420032703002,Block Group 2,G5030,S,217586,0,+40.4768739,-080.0397868,Brighton Heights,13,718.262,1.117,2,2703,Yes,2703,95,270300,2,1235,2050,60.24390244,60.24,Yes,6442275.7121582,12922.000916647
117,42,003,980400,1,420039804001,Block Group 1,G5030,S,1106408,0,+40.4819387,-080.0200201,Perry North,61,779.088,1.212,2,9804,No,9804,128,980400,1,0,0,0,0,No,11915689.8688354,23753.9614892393
118,42,003,481000,2,420034810002,Block Group 2,G5030,S,211451,0,+40.4120501,-079.9841274,Mount Oliver Borough,0,218.225,0.339,0,4810,No,4810,110,481000,4,0,0,0,0,No,9456833.29418945,13617.7570848806
119,42,003,130100,3,420031301003,Block Group 3,G5030,S,156450,0,+40.4613144,-079.8987905,Homewood North,41,279.14,0.434,11,1301,Yes,1301,45,130100,3,1750,1945,89.97429306,89.97,Yes,8353800.70544434,20012.9859370627
120,42,003,120800,2,420031208002,Block Group 2,G5030,S,533380,0,+40.4589802,-079.9121415,Larimer,45,286.16,0.445,12,1208,Yes,1208,44,120800,2,580,715,81.11888112,81.11,Yes,7707625.45892334,14354.5522021972
121,42,003,120700,2,420031207002,Block Group 2,G5030,S,200053,0,+40.4569713,-079.9050701,Homewood West,43,127.819,0.199,11,1207,Yes,1207,43,120700,2,565,830,68.07228916,68.07,Yes,5548059.30963135,10086.3946305951
122,42,003,980300,1,420039803001,Block Group 1,G5030,S,1294099,0,+40.4325504,-079.9057230,Squirrel Hill South,77,1717.485,2.671,10,9803,Yes,9803,127,980300,1,0,0,0,0,No,14040502.1362915,18179.2433944912
123,42,003,562800,2,420035628002,Block Group 2,G5030,S,653726,0,+40.4269246,-080.0658036,Oakwood,59,162.015,0.252,4,5628,Yes,5628,120,562800,2,1025,1635,62.6911315,62.69,Yes,18958847.2685242,28692.5193326094
124,42,003,120300,2,420031203002,Block Group 2,G5030,S,303104,0,+40.4667430,-079.9005376,Lincoln-Lemington-Belmar,47,984.873,1.532,11,1203,Yes,1203,41,120300,2,1400,1785,78.43137255,78.43,Yes,11629224.5994263,14333.292130295
125,42,003,111500,4,420031115004,Block Group 4,G5030,S,273819,0,+40.4612717,-079.9187769,East Liberty,29,373.65,0.581,12,1115,Yes,1115,40,111500,4,2380,2960,80.40540541,80.40,Yes,10372605.758667,15392.4037214748
126,42,003,310300,1,420033103001,Block Group 1,G5030,S,2048522,0,+40.3879201,-079.9225537,New Homestead,55,510.728,0.794,8,3103,No,3103,106,310300,1,270,975,27.69230769,27.69,No,22145349.2805176,22945.9372757914
127,42,003,111400,2,420031114002,Block Group 2,G5030,S,172205,0,+40.4669071,-079.9332758,Garfield,35,294.077,0.457,12,1114,Yes,1114,39,111400,2,1070,1425,75.0877193,75.08,Yes,3526196.87646484,7827.92787906085
128,42,003,111300,4,420031113004,Block Group 4,G5030,S,161217,0,+40.4674207,-079.9196807,East Liberty,29,373.65,0.581,12,1113,Yes,1113,38,111300,4,1470,2320,63.36206897,63.36,Yes,5829473.78814697,12415.3704908867
129,42,003,050600,3,420030506003,Block Group 3,G5030,S,287852,0,+40.4507230,-079.9591365,Upper Hill,85,201.167,0.313,15,0506,Yes,506,11,050600,3,1355,1865,72.6541555,72.65,Yes,8721363.20275879,11857.1719255418
130,42,003,980500,1,420039805001,Block Group 1,G5030,S,1603807,8799,+40.4327243,-079.9436647,Squirrel Hill South,77,1717.485,2.671,10,9805,No,9805,129,980500,1,0,0,0,0,No,17324024.9122925,19427.1110406014
131,42,003,160900,2,420031609002,Block Group 2,G5030,S,838891,282865,+40.4217339,-079.9608102,South Side Flats,72,601.553,0.936,7,1609,Yes,1609,64,160900,2,1580,3210,49.2211838,49.22,No,14036564.3807068,23501.9814464229
132,42,003,050100,3,420030501003,Block Group 3,G5030,S,308316,0,+40.4459724,-079.9776953,Middle Hill,51,196.108,0.305,15,0501,Yes,501,10,050100,3,1380,1730,79.76878613,79.76,Yes,8503728.48486328,14504.8570969816
133,42,003,040600,1,420030406001,Block Group 1,G5030,S,253063,0,+40.4367501,-079.9522852,Central Oakland,20,180.883,0.281,14,0406,Yes,406,8,040600,1,1935,2195,88.15489749,88.15,Yes,2763504.64630127,8033.65328886878
134,42,003,270100,2,420032701002,Block Group 2,G5030,S,604710,131921,+40.4824127,-080.0461620,Brighton Heights,13,718.262,1.117,2,2701,No,2701,94,270100,2,945,2475,38.18181818,38.18,No,11073553.2697144,14197.3435183672
135,42,003,980900,1,420039809001,Block Group 1,G5030,S,1453388,854869,+40.4659231,-080.0458881,Marshall-Shadeland,50,657.903,1.023,2,9809,No,9809,133,980900,2,0,0,0,0,No,15648985.0100708,29884.7997745058
136,42,003,250700,1,420032507001,Block Group 1,G5030,S,560320,0,+40.4599421,-080.0218657,California-Kirkbride,15,139.552,0.217,3,2507,Yes,2507,85,250700,1,555,765,72.54901961,72.54,Yes,6050816.65380859,11709.5187635506
137,42,003,270400,1,420032704001,Block Group 1,G5030,S,395541,0,+40.4654064,-080.0285012,Marshall-Shadeland,50,657.903,1.023,2,2704,Yes,2704,96,270400,1,675,1035,65.2173913,65.21,Yes,4256393.32476807,9062.21249878091
138,42,003,980800,1,420039808001,Block Group 1,G5030,S,400091,163596,+40.4341374,-079.9683957,South Oakland,70,326.793,0.508,14,9808,No,9808,132,980800,1,0,0,0,0,No,4213612.00421143,15681.9130264913
